iter	Passed	Remaining
407	4644	6738
408	4654	6725
409	4664	6711
410	4673	6698
411	4684	6684
412	4693	6670
413	4703	6657
414	4712	6643
415	4723	6630
416	4733	6617
417	4742	6603
418	4753	6590
419	4765	6580
420	4776	6568
421	4786	6555
422	4795	6541
423	4804	6527
424	4815	6514
425	4824	6500
426	4834	6487
427	4843	6473
428	4853	6460
429	4863	6447
430	4873	6433
431	4884	6422
432	4894	6408
433	4903	6394
434	4913	6382
435	4923	6368
436	4933	6355
437	4942	6341
438	4952	6328
439	4962	6316
440	4971	6302
441	4983	6291
442	4993	6278
443	5003	6265
444	5013	6252
445	5022	6238
446	5032	6226
447	5043	6214
448	5054	6202
449	5064	6190
450	5074	6177
451	5083	6163
452	5093	6150
453	5103	6137
454	5114	6126
455	5124	6112
456	5133	6099
457	5143	6087
458	5153	6074
459	5163	6061
460	5177	6053
461	5186	6040
462	5196	6027
463	5206	6014
464	5215	6000
465	5225	5988
466	5236	5976
467	5246	5963
468	5255	5950
469	5265	5937
470	5275	5924
471	5284	5911
472	5294	5899
473	5304	5885
474	5316	5875
475	5326	5863
476	5335	5850
477	5345	5837
478	5356	5826
479	5365	5812
480	5375	5800
481	5384	5787
482	5394	5774
483	5404	5761
484	5413	5748
485	5424	5736
486	5434	5724
487	5443	5711
488	5454	5699
489	5464	5687
490	5473	5674
491	5490	5668
492	5507	5663
493	5516	5650
494	5526	5638
495	5536	5625
496	5546	5612
497	5556	5600
498	5565	5587
499	5577	5577
500	5587	5565
501	5596	5552
502	5607	5540
503	5616	5527
504	5626	5515
505	5636	5503
506	5646	5490
507	5656	5478
508	5665	5465
509	5675	5452
510	5685	5441
511	5695	5428
512	5704	5415
513	5714	5403
514	5724	5390
515	5734	5379
516	5744	5366
517	5754	5354
518	5764	5342
519	5773	5329
520	5784	5317
521	5793	5305
522	5802	5292
523	5812	5279
524	5822	5268
525	5833	5256
526	5843	5244
527	5853	5232
528	5862	5219
529	5873	5208
530	5883	5196
531	5893	5184
532	5903	5172
533	5912	5159
534	5921	5147
535	5932	5135
536	5941	5122
537	5952	5111
538	5963	5100
539	5972	5087
540	5984	5077
541	5993	5065
542	6003	5052
543	6015	5042
544	6025	5030
545	6035	5018
546	6047	5007
547	6056	4995
548	6067	4984
549	6077	4972
550	6089	4961
551	6100	4951
552	6112	4940
553	6122	4928
554	6133	4917
555	6143	4905
556	6152	4893
557	6163	4882
558	6173	4869
559	6183	4858
560	6194	4847
561	6204	4835
562	6215	4824
563	6225	4812
564	6234	4800
565	6244	4788
566	6255	4776
567	6266	4766
568	6276	4754
569	6286	4742
570	6296	4730
571	6307	4719
572	6317	4707
573	6329	4697
574	6340	4686
575	6352	4676
576	6365	4666
577	6377	4656
578	6389	4645
579	6401	4635
580	6412	4624
581	6425	4614
582	6436	4603
583	6448	4593
584	6460	4582
585	6470	4571
586	6482	4560
587	6493	4549
588	6504	4539
589	6517	4529
590	6531	4519
591	6543	4509
592	6553	4498
593	6564	4487
594	6576	4476
595	6591	4467
596	6602	4457
597	6614	4446
598	6624	4435
599	6636	4424
600	6648	4413
601	6659	4402
602	6670	4391
603	6682	4381
604	6694	4370
605	6705	4359
606	6716	4348
607	6728	4338
608	6740	4327
609	6750	4316
610	6760	4304
611	6772	4293
612	6785	4284
613	6797	4273
614	6808	4261
