iter	MultiClass
0	1.755655424
1	1.611785349
2	1.494809764
3	1.401639453
4	1.320421468
5	1.227907436
6	1.172248888
7	1.110897062
8	1.049109022
9	1.003908317
10	0.9585227121
11	0.9204324224
12	0.8828487974
13	0.8496823295
14	0.8179280736
15	0.7904189449
16	0.7659087599
17	0.7428515428
18	0.7140488206
19	0.6898093454
20	0.6700552185
21	0.6474534732
22	0.629583965
23	0.6152572645
24	0.5934757028
25	0.5800788107
26	0.5608490402
27	0.5463652662
28	0.5327536277
29	0.5199721663
30	0.5085985324
31	0.4973232412
32	0.4896373276
33	0.4794281455
34	0.4711849547
35	0.4619096607
36	0.4532353345
37	0.4454180737
38	0.4395183344
39	0.4338812615
40	0.4263738538
41	0.4189731524
42	0.4128314796
43	0.4081319417
44	0.4007567902
45	0.3947323782
46	0.3904251051
47	0.3825757188
48	0.3734430393
49	0.3657794916
50	0.3594981385
51	0.3541632363
52	0.3497481717
53	0.3446681831
54	0.3402552223
55	0.3367147594
56	0.3297301145
57	0.3254309408
58	0.3221639695
59	0.3188377912
60	0.3149441326
61	0.3114879358
62	0.3079622895
63	0.3024341756
64	0.299520283
65	0.2946821964
66	0.2903862807
67	0.2875651875
68	0.2840477771
69	0.2824837458
70	0.2790567589
71	0.2756110532
72	0.2730806961
73	0.2698487514
74	0.2671982617
75	0.2646492802
76	0.2630413708
77	0.2608894812
78	0.2587400034
79	0.2557544717
80	0.2537740825
81	0.2518613918
82	0.2495933223
83	0.2456829861
84	0.2432923034
85	0.2396660311
86	0.2378752609
87	0.2357133619
88	0.2342424451
89	0.2324478985
90	0.2309827532
91	0.2285273307
92	0.2256251411
93	0.2229355821
94	0.2207247529
95	0.2184970975
96	0.215332887
97	0.214207287
98	0.2117048456
99	0.208199073
100	0.2071589274
101	0.2042173993
102	0.2026652037
103	0.2016213562
104	0.1991482481
105	0.1970566795
106	0.195968456
107	0.1926172779
108	0.1912886205
109	0.1887466116
110	0.1873262901
111	0.1841502301
112	0.1823162929
113	0.1811115815
114	0.178706331
115	0.1774519172
116	0.1767459267
117	0.1736820464
118	0.1727016165
119	0.1720444681
120	0.1702341365
121	0.1692367528
122	0.1685433003
123	0.1670332645
124	0.1663925234
125	0.1656180746
126	0.164442365
127	0.1623059759
128	0.1607317503
129	0.1596159877
130	0.1582449604
131	0.1572086349
132	0.156152135
133	0.1546134559
134	0.1535214769
135	0.1529349973
136	0.1522997516
137	0.1516692765
138	0.1507037269
139	0.1496904785
140	0.1491734301
141	0.1485799127
142	0.1476681277
143	0.146975079
144	0.1461788267
145	0.1441638185
146	0.1421418222
147	0.1397484495
148	0.1387532025
149	0.1375853734
150	0.1365010764
151	0.1355081112
152	0.1339508188
153	0.1329211562
154	0.1322914969
155	0.1318280783
156	0.1312507494
157	0.1307542556
158	0.1288400474
159	0.1282256168
160	0.1276702089
161	0.1265368355
162	0.1259439908
163	0.125093036
164	0.1243082871
165	0.1237084185
166	0.1221687875
167	0.121523497
168	0.1211791201
169	0.1196582538
170	0.1191530768
171	0.1186244549
172	0.1180868119
173	0.1171404468
174	0.1165282656
175	0.1160226934
176	0.1156572817
177	0.1152214849
178	0.1143332717
179	0.1139491213
180	0.1133259283
181	0.1128739165
182	0.1124448368
183	0.1119393822
184	0.1111670112
185	0.110434125
186	0.1098723747
187	0.1095509377
188	0.1088561304
189	0.1083488159
190	0.1079197484
191	0.1073910499
192	0.1060320996
193	0.1058057923
194	0.1050378515
195	0.1039077608
196	0.1033618
197	0.1030991554
